label,n,d,T,j,est,true,bias,q0,q1,bstd,covered,singleW,time
ours,100,3,10,0,0.12887064200969928,0.06479648110442306,0.06407416090527622,-0.0014375254597503266,0.2608552088434497,0.06778775903288163,True,False,50075.327996730804
ours,100,3,10,0,0.14895653299651818,0.06479648110442306,0.08416005189209512,-0.007962301816762652,0.308897759426381,0.07253685851318019,True,False,50075.327996730804
ours,100,3,10,0,0.0981949439898906,0.06479648110442306,0.03339846288546755,-0.04935876393594444,0.2678580699978821,0.07416550303479331,True,False,50075.327996730804
ours,100,3,10,0,0.07019936441783599,0.06479648110442306,0.005402883313412932,-0.04776015628063928,0.17306027968308735,0.0642638991417807,True,False,50075.327996730804
ours,100,3,10,0,0.041682624579174786,0.06479648110442306,-0.02311385652524827,-0.10673294275868113,0.1921027210198898,0.07894012508644614,True,False,50075.327996730804
ours,100,3,10,0,-0.057786416934624454,0.06479648110442306,-0.12258289803904751,-0.21445992822177692,0.0760391096443963,0.07548079084800406,True,False,50075.327996730804
ours,100,3,10,0,0.04425072970173581,0.06479648110442306,-0.020545751402687246,-0.05987477029598336,0.14458439275323545,0.055945444269565554,True,False,50075.327996730804
ours,100,3,10,0,0.08244491086657324,0.06479648110442306,0.017648429762150183,-0.0480053805714932,0.1929393688357743,0.0665350660139243,True,False,50075.327996730804
ours,100,3,10,0,0.011343176425662802,0.06479648110442306,-0.053453304678760256,-0.116869341286496,0.15849472027935474,0.07368607938585708,True,False,50075.327996730804
ours,100,3,10,0,0.05154267708080355,0.06479648110442306,-0.013253804023619503,-0.09503282902450585,0.1744717532676804,0.07285987586872589,True,False,50075.327996730804
ours,100,3,10,0,0.1283878166824798,0.06479648110442306,0.06359133557805675,0.00036015581904559526,0.27046240313569625,0.06619751359006323,True,False,50075.327996730804
ours,100,3,10,0,0.06884443434855511,0.06479648110442306,0.004047953244132055,-0.027441893319571958,0.15706589369015544,0.050927494317733274,True,False,50075.327996730804
ours,100,3,10,0,0.10721486144177506,0.06479648110442306,0.042418380337352,0.0037138213221436446,0.24214835079614974,0.06375465762392404,True,False,50075.327996730804
ours,100,3,10,0,-0.017780615134781047,0.06479648110442306,-0.0825770962392041,-0.12674961040621935,0.1626127135275727,0.07686253579620923,True,False,50075.327996730804
ours,100,3,10,0,-0.04813465031276333,0.06479648110442306,-0.11293113141718639,-0.1467812623858067,0.053560403023862474,0.05400720478476532,False,False,50075.327996730804
ours,100,3,10,0,0.17585464558180156,0.06479648110442306,0.1110581644773785,0.03990995858965377,0.2913537709405022,0.06806028464441181,True,False,50075.327996730804
ours,100,3,10,0,0.06643877249403296,0.06479648110442306,0.001642291389609904,-0.04773174319303805,0.17830970150269365,0.06182587468023206,True,False,50075.327996730804
ours,100,3,10,0,0.15849807123660065,0.06479648110442306,0.09370159013217759,0.022666891396090297,0.2542373580699848,0.06121083114807032,True,False,50075.327996730804
ours,100,3,10,0,0.05044069041581174,0.06479648110442306,-0.014355790688611314,-0.11107396223013287,0.16999692106021833,0.07212254789367593,True,False,50075.327996730804
ours,100,3,10,0,0.06913060983253702,0.06479648110442306,0.0043341287281139645,-0.08736919221774848,0.18438759294853063,0.06825230192554149,True,False,50075.327996730804
ours,100,3,10,0,0.052117803656078356,0.06479648110442306,-0.012678677448344701,-0.05205039794905836,0.18849715644218296,0.05760080144641233,True,False,50075.327996730804
ours,100,3,10,0,-0.02430242160306701,0.06479648110442306,-0.08909890270749007,-0.16553236920312592,0.09739088609144858,0.07044616839774062,True,False,50075.327996730804
ours,100,3,10,0,-0.026590305465990106,0.06479648110442306,-0.09138678657041316,-0.180245644431898,0.0983914705423065,0.07205478412196553,True,False,50075.327996730804
ours,100,3,10,0,0.08922954714309224,0.06479648110442306,0.024433066038669182,-0.04192069702850177,0.21316062390851648,0.06124377319663741,True,False,50075.327996730804
ours,100,3,10,0,0.008416786949392763,0.06479648110442306,-0.056379694155030295,-0.1306364214852741,0.12635737033957212,0.06545489209723955,True,False,50075.327996730804
ours,100,3,10,0,0.13582439786244188,0.06479648110442306,0.07102791675801882,0.011945783353159671,0.2595442583942137,0.06383475889798561,True,False,50075.327996730804
ours,100,3,10,0,0.10526116359350954,0.06479648110442306,0.04046468248908648,-0.04256835053067283,0.2457172431897389,0.07339801237342745,True,False,50075.327996730804
ours,100,3,10,0,0.08204273522163255,0.06479648110442306,0.017246254117209495,-0.04688853607093293,0.2642006799924699,0.08418287980376685,True,False,50075.327996730804
ours,100,3,10,0,0.06446978544105086,0.06479648110442306,-0.00032669566337219236,-0.06243026516245713,0.20826229074802685,0.06851931707698534,True,False,50075.327996730804
ours,100,3,10,0,0.10578599066498029,0.06479648110442306,0.04098950956055723,-0.04982318983437942,0.24626850860239557,0.07383772825721531,True,False,50075.327996730804
ours,100,3,10,0,0.15147923508835454,0.06479648110442306,0.08668275398393148,0.012988038103230688,0.28267105673849874,0.07486858359128731,True,False,50075.327996730804
ours,100,3,10,0,0.1625503495569489,0.06479648110442306,0.09775386845252583,0.017441851942399868,0.3066040884010953,0.07879792615524943,True,False,50075.327996730804
ours,100,3,10,0,0.03326126489863282,0.06479648110442306,-0.03153521620579024,-0.0654220751329112,0.15384738722499403,0.059267216603665546,True,False,50075.327996730804
ours,100,3,10,0,0.0169277780382641,0.06479648110442306,-0.04786870306615895,-0.1133519362601349,0.1684239452606601,0.07008803693454102,True,False,50075.327996730804
ours,100,3,10,0,0.12305620623058447,0.06479648110442306,0.05825972512616141,0.016432872280200118,0.2438169346399809,0.06023048629846832,True,False,50075.327996730804
ours,100,3,10,0,0.11212460198791785,0.06479648110442306,0.04732812088349479,-0.024992091316015784,0.22685562033065393,0.0727568862987629,True,False,50075.327996730804
ours,100,3,10,0,0.043527096108506066,0.06479648110442306,-0.02126938499591699,-0.08102089844536192,0.18878955930750116,0.0695523902615793,True,False,50075.327996730804
ours,100,3,10,0,0.10364770649638122,0.06479648110442306,0.038851225391958163,-0.023043761581185488,0.22678517760999475,0.06064950549870108,True,False,50075.327996730804
ours,100,3,10,0,0.010559411469107563,0.06479648110442306,-0.054237069635315494,-0.0625448363456657,0.10185933715653496,0.04560531206633805,True,False,50075.327996730804
ours,100,3,10,0,0.011543997546163282,0.06479648110442306,-0.053252483558259775,-0.08496461126053108,0.10745576289741217,0.05209620124614368,True,False,50075.327996730804
ours,100,3,10,0,-0.03572994723277457,0.06479648110442306,-0.10052642833719763,-0.1799206115003002,0.12031801355217744,0.07452789613327433,True,False,50075.327996730804
