label,n,d,T,j,true,est,bias,q0,q1,bstd,covered,time
ours,50,3,100,0,-0.26267668028286395,-0.27673037757062086,-0.014053697287756906,-0.3492343372660976,-0.20210676275778386,0.040280714118284225,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.27007776191626975,-0.007401081633405804,-0.361039991911872,-0.18551133515780535,0.04288809998542719,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.33977893008246907,-0.07710224979960512,-0.43764581777265055,-0.25281625196868013,0.048064765580987115,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.29736382332961653,-0.03468714304675258,-0.38500160844934916,-0.20662167284759753,0.046798307388504046,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.23479256116240316,0.027884119120460793,-0.32307073159918265,-0.13440850681376704,0.04681643404160445,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.23677927854781194,0.025897401735052006,-0.32648416304582956,-0.1620664390380773,0.04212422457625821,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.29307677635489726,-0.03040009607203331,-0.3574632341253738,-0.1972725377646742,0.04135088423502817,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.33168355047972664,-0.06900687019686269,-0.3963478351566985,-0.2623054651623125,0.03658668091265924,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.34091544364658016,-0.07823876336371621,-0.43547469905158737,-0.25303105314593294,0.0481159361522365,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2803528191071448,-0.017676138824280874,-0.36531087780547605,-0.18297101889908973,0.04551411710215341,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2395297162071014,0.023146964075762555,-0.3008113474978053,-0.1565196853226167,0.03680077168983325,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2533203674948449,0.009356312788019072,-0.3247764755615327,-0.16849905901761536,0.04444917027854587,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2543950019779856,0.00828167830487836,-0.33108346378571785,-0.18254829054781435,0.03962816318729639,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.24076944833609587,0.02190723194676808,-0.3247794004326011,-0.15992671000015551,0.045199573833588844,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.30449420186525367,-0.041817521582389716,-0.3582673749559021,-0.22695295761130954,0.03624356205676275,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.25104597187646793,0.011630708406396018,-0.34377775967369006,-0.1647303906665654,0.04590154672681582,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.26177953859766045,0.0008971416852034952,-0.34221418776281737,-0.20294343570411294,0.04061581656209761,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.3029755535005316,-0.040298873217667674,-0.37858049707690306,-0.23012256002449372,0.03969295509822902,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2351276921274153,0.02754898815544865,-0.31018542599919957,-0.15554474119631662,0.04123572044911555,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2634625602913768,-0.0007858800085128737,-0.3510037386884222,-0.1902348059332088,0.043236522961716886,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.26558335911661035,-0.002906678833746401,-0.35955081925246707,-0.17474231509363003,0.0486823604573274,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.28209327998412576,-0.019416599701261805,-0.36310206119101757,-0.20138395282483862,0.04509094542575982,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.269300589143154,-0.006623908860290073,-0.3561948588924745,-0.19042174469032355,0.04436029026216334,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.25971117272458816,0.002965507558275793,-0.3341131745233938,-0.17437916811999896,0.042037088857150864,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.22281187326954172,0.039864807013322234,-0.2696722230373723,-0.16602007995219747,0.027543198135385336,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.25760621232101255,0.005070467961851399,-0.33996514017292395,-0.1697686347668917,0.044636707292004495,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.3101822887972064,-0.047505608514342434,-0.38645708791600913,-0.21351787886115953,0.04849602798192941,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.29908635504399844,-0.03640967476113449,-0.39358291026653774,-0.23135852648664823,0.04223766804615655,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2462232512977118,0.016453428985152146,-0.32909781128471427,-0.1642018056625374,0.04407714992333903,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.34208375844613337,-0.07940707816326942,-0.40844228545392935,-0.2676800799118332,0.03743482360357341,False,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.21961785979639636,0.043058820486467586,-0.2931078793054278,-0.15432505967192692,0.03787480550975099,True,11982.835673570633
